STATE/UT,DISTRICT,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,POPULATION
MAHARASHTRA,Ahmadnagar,112,71,6,105,0,105,81,54,27,44,8,351,552,1603,555,1048,584,52,251,7,52,759,10,243,34,397,0,733,1879,7934,4543083
MAHARASHTRA,Akola,35,47,2,46,0,46,31,24,7,17,4,79,198,731,156,575,152,10,116,1,31,942,4,200,35,121,0,118,1059,3979,1818617
MAHARASHTRA,Amravati ,74,101,6,104,0,104,80,67,13,10,1,120,427,1636,264,1372,197,44,127,6,78,1837,3,413,62,213,0,303,2374,8216,2887826
MAHARASHTRA,Aurangabad ,77,115,4,58,0,58,72,50,22,45,9,216,465,2032,766,1266,524,25,327,4,51,1284,19,340,69,424,0,428,2010,8598,3695928
MAHARASHTRA,Bid,79,83,11,92,0,92,71,52,19,19,9,105,343,618,219,399,397,92,198,0,49,864,5,230,12,382,0,293,761,4713,2585962
MAHARASHTRA,Bhandara,28,12,0,40,0,40,20,13,7,4,0,27,132,533,66,467,54,16,51,0,23,306,0,74,41,52,0,178,666,2257,1198810
MAHARASHTRA,Buldana,54,43,3,56,0,56,21,15,6,8,1,41,182,533,125,408,228,16,99,3,47,1074,20,185,66,140,0,248,956,4024,2588039
MAHARASHTRA,Chandrapur,37,25,4,88,0,88,38,25,13,5,2,53,284,800,209,591,116,41,71,1,32,663,8,179,123,180,0,273,1453,4476,2194262
MAHARASHTRA,Dhule,47,52,1,40,0,40,27,25,2,42,1,89,184,353,119,234,213,56,87,0,7,302,6,58,9,228,0,324,1010,3136,2048781
MAHARASHTRA,Garhchiroli,42,61,1,33,0,33,6,5,1,3,0,6,97,131,36,95,16,9,18,1,22,186,0,53,6,14,0,101,227,1033,1071795
MAHARASHTRA,Gondiya,31,10,4,52,0,52,24,21,3,5,1,9,174,246,52,194,28,4,58,2,15,352,1,94,10,55,0,137,575,1887,1322331
MAHARASHTRA,Hingoli,27,22,1,15,0,15,15,12,3,1,5,8,56,122,27,95,87,10,66,0,9,311,4,55,2,86,0,101,397,1400,1178973
MAHARASHTRA,Jalgaon,73,90,5,58,0,58,59,53,6,35,3,114,368,976,269,707,315,110,219,5,35,652,2,238,42,425,0,401,1323,5548,4224442
MAHARASHTRA,Jalna,57,92,4,35,0,35,31,29,2,19,8,61,225,492,155,337,215,16,105,2,29,532,50,132,6,351,0,172,539,3173,1958483
MAHARASHTRA,Kolhapur,68,57,0,84,0,84,53,43,10,20,2,163,403,886,379,507,348,64,292,4,22,520,14,117,37,204,0,367,1075,4800,3874015
MAHARASHTRA,Latur,67,45,7,37,0,37,38,38,0,24,1,50,264,427,163,264,254,12,102,1,37,570,4,116,3,297,0,259,828,3443,2455543
MAHARASHTRA,Mumbai,170,190,8,391,0,391,381,251,130,41,19,2757,2936,10561,3789,6772,385,697,2134,48,47,3922,21,1163,444,602,0,586,7337,34840,3145966
MAHARASHTRA,Mumbai suburban,4,6,1,6,0,6,7,5,2,3,0,513,6,1838,0,1838,5,15,65,0,0,47,0,41,5,0,0,3,119,2684,9332481
MAHARASHTRA,Nagpur,159,120,13,168,0,168,154,111,43,24,32,607,1386,5039,1610,3429,294,113,336,13,46,1645,8,373,83,301,0,698,3633,15245,4653171
MAHARASHTRA,Nanded,60,71,10,64,0,64,61,48,13,20,3,61,431,538,201,337,293,27,232,0,46,967,30,135,6,341,0,229,1433,5058,3356566
MAHARASHTRA,Nandurbar,26,15,0,23,0,23,20,19,1,17,0,10,85,181,53,128,100,17,45,1,3,240,1,44,13,75,0,126,516,1558,1646177
MAHARASHTRA,Nashik,117,79,4,105,0,105,80,52,28,60,30,265,593,1813,836,977,545,65,390,31,37,1042,16,320,30,586,0,877,3793,10878,6109052
MAHARASHTRA,Osmanabad,37,47,7,48,0,48,37,26,11,18,4,30,179,380,83,297,206,15,128,0,23,517,4,127,12,166,0,270,609,2864,1660311
MAHARASHTRA,Parbhani,48,88,5,40,0,40,66,37,29,35,0,68,338,519,161,358,198,15,157,2,36,934,4,132,6,271,0,132,479,3573,1835982
MAHARASHTRA,Pune,267,251,23,324,0,324,279,203,76,66,66,1166,2082,6731,3475,3256,1076,153,1273,37,79,1921,15,587,201,568,0,1500,4200,22865,9426959
MAHARASHTRA,Raigarh,39,24,1,42,0,42,17,14,3,12,0,65,181,484,103,381,181,17,141,7,9,314,4,92,45,80,0,266,574,2595,2635394
MAHARASHTRA,Ratnagiri,18,12,2,27,0,27,15,8,7,8,0,38,157,245,47,198,85,30,86,2,6,162,0,82,26,39,0,157,371,1568,1612672
