STATE/UT,DISTRICT,YEAR,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES
MAHARASHTRA,AHMEDNAGAR,2001,97,41,1,44,0,44,37,25,12,20,6,104,312,715,168,547,266,37,59,7,44,575,0,74,2,496,0,479,975,4391
MAHARASHTRA,AKOLA,2001,64,41,0,15,0,15,15,14,1,9,0,41,298,735,81,654,99,15,59,16,48,836,2,109,7,189,0,116,1306,4020
MAHARASHTRA,AMRAVATI COMMR.,2001,44,29,3,23,0,23,27,23,4,10,0,48,259,812,163,649,95,10,41,2,15,429,10,43,26,55,0,60,796,2837
MAHARASHTRA,AMRAVATI RURAL,2001,72,23,0,42,0,42,29,25,4,1,0,36,359,1031,26,1005,112,12,31,1,23,884,4,99,38,92,0,126,640,3655
MAHARASHTRA,AURANGABAD COMMR.,2001,36,27,0,14,0,14,19,14,5,3,2,40,239,503,179,324,130,26,108,1,3,371,4,33,12,102,0,109,569,2351
MAHARASHTRA,AURANGABAD RURAL,2001,61,12,0,28,0,28,16,6,10,14,1,49,193,273,30,243,139,13,35,0,24,780,6,53,12,247,0,172,580,2708
MAHARASHTRA,BEED,2001,68,43,1,22,0,22,25,15,10,16,1,62,264,499,70,429,272,14,41,0,38,1012,2,78,15,177,0,174,820,3644
MAHARASHTRA,BHANDARA,2001,32,22,3,39,0,39,4,1,3,2,0,15,195,402,27,375,63,12,19,1,55,392,5,71,37,60,0,90,733,2252
MAHARASHTRA,BULDHANA,2001,49,32,1,22,0,22,22,18,4,11,1,27,227,749,45,704,246,17,46,0,69,753,35,118,21,223,0,155,877,3701
MAHARASHTRA,CHANDRAPUR,2001,49,26,4,43,0,43,10,7,3,8,0,36,253,572,57,515,110,21,35,1,39,538,2,102,28,144,0,180,922,3123
MAHARASHTRA,DHULE,2001,48,25,1,16,0,16,6,6,0,7,3,13,96,360,56,304,86,20,36,0,22,338,6,17,8,127,0,189,616,2040
MAHARASHTRA,GADCHIROLI,2001,47,24,3,27,0,27,7,6,1,11,0,15,127,124,15,109,28,3,12,0,51,246,0,55,17,57,0,49,461,1364
MAHARASHTRA,GONDIA,2001,41,17,3,23,0,23,17,17,0,4,4,13,238,326,30,296,20,18,30,2,20,328,4,85,22,80,0,94,617,2006
MAHARASHTRA,HINGOLI,2001,36,27,0,20,0,20,9,8,1,4,2,39,119,241,24,217,96,6,20,0,33,471,2,44,4,134,0,61,473,1841
MAHARASHTRA,JALGAON,2001,83,44,0,19,0,19,16,12,4,16,5,30,238,557,72,485,157,41,119,0,22,721,5,76,31,389,0,259,1186,4014
MAHARASHTRA,JALNA,2001,43,24,0,16,0,16,12,8,4,13,1,46,209,345,48,297,120,13,38,0,38,675,5,56,7,172,0,109,587,2529
MAHARASHTRA,KOLHAPUR,2001,54,33,3,26,0,26,21,13,8,11,3,32,299,561,164,397,129,35,71,2,20,516,19,46,7,80,0,279,915,3162
MAHARASHTRA,LATUR,2001,42,17,0,7,0,7,22,22,0,3,2,31,157,281,58,223,211,20,45,2,28,992,38,50,7,150,0,134,805,3044
MAHARASHTRA,MUMBAI,2001,295,200,6,127,0,127,148,12,136,61,80,406,2863,11564,3095,8469,196,393,1270,170,6,3845,18,274,44,198,0,709,6095,28968
MAHARASHTRA,MUMBAI RLY.,2001,12,9,1,2,0,2,1,0,1,0,3,29,3,1756,0,1756,13,26,34,0,0,30,0,5,0,0,0,2,97,2023
MAHARASHTRA,NAGPUR COMMR.,2001,112,70,2,39,0,39,64,51,13,14,55,171,1388,2666,797,1869,235,74,263,11,15,1078,7,75,56,218,0,223,3076,9912
MAHARASHTRA,NAGPUR RLY.,2001,12,1,0,2,0,2,0,0,0,6,0,20,2,762,8,754,18,5,7,11,2,29,2,4,0,0,0,3,170,1056
MAHARASHTRA,NAGPUR RURAL,2001,101,56,6,81,0,81,23,16,7,7,1,58,501,1074,62,1012,180,27,37,0,81,1050,3,131,294,141,0,254,1574,5680
MAHARASHTRA,NANDED,2001,80,66,4,23,0,23,41,36,5,21,11,93,426,539,73,466,217,40,128,0,67,1480,21,85,22,202,0,127,1655,5348
MAHARASHTRA,NANDURBAR,2001,44,20,0,16,0,16,6,6,0,4,0,5,68,132,19,113,80,12,13,0,4,240,2,27,1,78,0,59,268,1079
MAHARASHTRA,NASIK COMMR.,2001,25,14,2,9,0,9,14,9,5,7,1,16,263,529,188,341,139,18,61,0,19,245,3,19,2,99,0,138,572,2195
MAHARASHTRA,NASIK RURAL,2001,92,54,1,39,0,39,17,10,7,40,0,36,280,447,90,357,518,57,54,1,69,926,7,74,37,339,0,495,1297,4880
MAHARASHTRA,NAVI MUMBAI,2001,34,18,0,17,0,17,19,7,12,15,16,62,375,893,318,575,80,88,148,6,3,354,5,23,5,57,0,228,617,3063
MAHARASHTRA,OSMANABAD,2001,48,13,1,16,0,16,8,7,1,8,1,29,189,349,45,304,101,17,34,0,26,903,2,52,6,102,0,171,626,2702
MAHARASHTRA,PARBHANI,2001,49,28,0,25,0,25,22,16,6,5,2,43,143,230,18,212,148,14,42,1,31,994,1,57,10,120,0,70,440,2475
MAHARASHTRA,PUNE COMMR.,2001,71,44,3,56,0,56,46,28,18,14,13,98,840,2508,1277,1231,903,84,347,5,16,1004,2,54,105,147,1,300,2275,8936
MAHARASHTRA,PUNE RLY.,2001,4,1,2,0,0,0,0,0,0,1,0,4,0,302,1,301,3,1,3,0,0,10,0,3,0,0,0,0,52,386
MAHARASHTRA,PUNE RURAL,2001,119,41,6,42,0,42,24,17,7,23,20,70,301,635,168,467,150,35,46,1,28,517,5,64,11,165,0,698,1379,4380
MAHARASHTRA,RAIGAD,2001,53,11,0,20,0,20,8,1,7,13,7,27,200,296,54,242,104,16,44,2,10,276,1,29,7,55,0,275,764,2218
MAHARASHTRA,RATNAGIRI,2001,17,5,1,10,0,10,8,4,4,3,2,14,97,256,34,222,69,18,20,1,17,232,0,32,19,62,0,119,429,1431
MAHARASHTRA,SANGLI,2001,85,24,1,32,0,32,18,8,10,8,3,27,225,515,97,418,128,31,55,0,47,566,12,54,22,96,0,263,787,2999
