DISTRICT,LAT,LONG,AREA,RADIUS
Ahmadnagar,19.0952075,74.7495916,"17,413",131.958326755078
Akola,20.7059345,77.0219019,"5,417",73.6002717386288
Amravati ,20.9374238,77.7795513,"12,626",112.365475124702
Aurangabad ,19.8761653,75.3433139,"10,100",100.498756211209
Bid,18.9890893,75.7600785,"10,439",102.171424576542
Bhandara,21.1750113,79.6558242,"3,717",60.9672042987047
Buldana,20.4560976,76.3637285,"9,680",98.3869910099908
Chandrapur,19.9704597,79.3014845,"10,695",103.416633091587
Dhule,20.9042201,74.7748979,"8,063",89.7942091674068
Garhchiroli,20.184871,79.9947956,"14,412",120.049989587671
Gondiya,21.4624491,80.2209773,"4,843",69.5916661677244
Hingoli,19.7173703,77.1493722,"4,526",67.2755527662166
Jalgaon,21.0076578,75.5626039,"11,765",108.466584716216
Jalna,19.8296893,75.8800305,"7,612",87.2467764447489
Kolhapur,16.7049873,16.7049873,"7,685",87.6641317757725
Latur,18.4087934,76.5603828,"7,372",85.8603517346627
Mumbai,19.228825,72.854118,437,20.9045449603669
Nagpur,21.1458004,79.0881546,"9,897",99.4836670011716
Nanded,19.1382514,77.3209555,"10,422",102.088197163041
Nandurbar,21.3755507,74.2427644,"5,035",70.9577338984272
Nashik,19.9974533,73.7898023,"15,530",124.619420637395
Osmanabad,18.1860659,76.0419409,"7,512",86.6717947200818
Parbhani,19.2609958,76.776665,"6,251",79.0632658065678
Pune,18.5204303,73.8567437,"15,642",125.067981514055
Raigarh,18.5157519,73.1821623,"7,148",84.545845551393
Ratnagiri,16.990215,73.3120233,"8,208",90.598013223249
Sangli,16.8523973,74.5814773,"8,578",92.6174929481467
Satara,17.6804639,74.018261,"10,484",102.391405889362
Sindhudurg,16.3492193,73.5594128,"5,207",72.1595454531138
Solapur,17.6599188,75.9063906,"14,845",121.840059093879
Thane,19.2183307,72.9780897,"9,558",97.7650244208019
Wardha,20.745319,78.6021946,"6,310",79.435508432942
Washim,20.1119123,77.1312586,"5,150",71.7635004720366
Yavatmal,20.3887937,78.1204073,"13,584",116.550418274668
